,Title,Address,Bedroom,Bathroom,Price,City,State,Zipcode,Latitude ,Longitude 
0,House,"5929 Merritt Place, Falls Church, VA 22041",5,3.0,4150,Falls Church,VA,22041,38.848,-77.1414
1,Townhouse,"3903 Barcroft Mews Ct, Falls Church, VA 22041",3,3.5,3700,Falls Church,VA,22041,38.848,-77.1414
2,Townhouse,"6117 Madison Crest Ct, Falls Church, VA 22041",2,3.5,2900,Falls Church,VA,22041,38.848,-77.1414
3,House,"3709 Whispering Ln, Falls Church, VA 22041",5,4.0,4900,Falls Church,VA,22041,38.848,-77.1414
4,Townhouse,"3361 Lakeside View Dr Unit 87, Falls Church, VA 22041",2,2.5,2850,Falls Church,VA,22041,38.848,-77.1414
5,House,"3615 Tallwood Terrace, Falls Church, VA 22041",4,3.0,4000,Falls Church,VA,22041,38.848,-77.1414
6,House,"703 Morningside Ct, Herndon, VA 20170",5,2.0,3300,Herndon,VA,20170,38.9809,-77.3803
7,Townhouse,"1110 Floyd Place, Herndon, VA 20170",3,4.0,2550,Herndon,VA,20170,38.9809,-77.3803
8,Townhouse,"1451 Bluemont Ct, Herndon, VA 20170",3,3.5,3400,Herndon,VA,20170,38.9809,-77.3803
9,House,"12018 Stuart Ridge Dr, Herndon, VA 20170",5,3.0,3200,Herndon,VA,20170,38.9809,-77.3803
10,Townhouse,"2100 Ferguson Place, Herndon, VA 20170",3,1.5,2350,Herndon,VA,20170,38.9809,-77.3803
11,Townhouse,"13349 Shea Place, Herndon, VA 20170",2,1.5,2200,Herndon,VA,20170,38.9809,-77.3803
12,House,"12629 Fantasia Dr, Herndon, VA 20170",3,2.0,3200,Herndon,VA,20170,38.9809,-77.3803
13,House,"821 Van Buren St, Herndon, VA 20170",4,4.0,3000,Herndon,VA,20170,38.9809,-77.3803
14,House,"505 Woodshire Ln, Herndon, VA 20170",4,2.5,3599,Herndon,VA,20170,38.9809,-77.3803
15,House,"1335 Butter Churn Dr, Herndon, VA 20170",4,3.5,3500,Herndon,VA,20170,38.9809,-77.3803
16,House,"1110 Iron Ridge Ct, Herndon, VA 20170",5,3.0,3850,Herndon,VA,20170,38.9809,-77.3803
17,House,"1160 Sterling Rd, Herndon, VA 20170",3,2.0,3150,Herndon,VA,20170,38.9809,-77.3803
18,House,"13360 Keisler Ct, Herndon, VA 20170",4,2.5,3500,Herndon,VA,20170,38.9809,-77.3803
19,House,"902 Spring Knoll Dr, Herndon, VA 20170",4,3.5,3900,Herndon,VA,20170,38.9809,-77.3803
20,Townhouse,"109 Fortnightly Blvd, Herndon, VA 20170",3,4.0,2850,Herndon,VA,20170,38.9809,-77.3803
21,Townhouse,"5455 New London Park Dr, Fairfax, VA 22032",3,4.0,2700,Fairfax,VA,22032,38.8203,-77.2902
22,Townhouse,"5415 Helm Ct, Fairfax, VA 22032",4,3.5,3200,Fairfax,VA,22032,38.8203,-77.2902
23,House,"5140 Pumphrey Dr, Fairfax, VA 22032",4,2.5,3500,Fairfax,VA,22032,38.8203,-77.2902
24,Townhouse,"5575 Glasgow Woods Ct, Fairfax, VA 22032",3,4.0,2650,Fairfax,VA,22032,38.8203,-77.2902
25,Townhouse,"5503 Akridge Ct, Fairfax, VA 22032",3,3.5,3000,Fairfax,VA,22032,38.8203,-77.2902
26,House,"9731 Loch Linden Ct, Fairfax, VA 22032",4,2.5,4000,Fairfax,VA,22032,38.8203,-77.2902
27,House,"5124 Richardson Dr, Fairfax, VA 22032",4,2.5,3200,Fairfax,VA,22032,38.8203,-77.2902
28,House,"4631 Tara Dr, Fairfax, VA 22032",4,3.0,3200,Fairfax,VA,22032,38.8203,-77.2902
29,House,"10208 Commonwealth Blvd, Fairfax, VA 22032",4,2.5,3200,Fairfax,VA,22032,38.8203,-77.2902
30,House,"4037 Broadwire Dr, Fairfax, VA 22032",5,3.5,3800,Fairfax,VA,22032,38.8203,-77.2902
31,House,"10004 Dalroy Ct, Fairfax, VA 22032",4,3.0,3375,Fairfax,VA,22032,38.8203,-77.2902
32,House,"5209 Pumphrey Dr, Fairfax, VA 22032",5,3.0,3900,Fairfax,VA,22032,38.8203,-77.2902
33,Townhouse,"14312 Beckett Glen Cir, Chantilly, VA 20151",3,5.0,4800,Chantilly,VA,20151,38.8989,-77.4479
34,Townhouse,"4227 Moselle Dr, Chantilly, VA 20151",4,3.0,2550,Chantilly,VA,20151,38.8989,-77.4479
35,Townhouse,"5166 Ridgeview Retreat Dr, Chantilly, VA 20151",4,4.5,3700,Chantilly,VA,20151,38.8989,-77.4479
36,House,"3777 Vernacchia Dr, Chantilly, VA 20151",5,4.5,4400,Chantilly,VA,20151,38.8989,-77.4479
37,House,"12665 Magna Carta Rd, Herndon, VA 20171",3,2.0,2800,Herndon,VA,20171,38.9233,-77.3979
38,Townhouse,"3160 Yeager Dr, Herndon, VA 20171",5,4.5,3500,Herndon,VA,20171,38.9233,-77.3979
39,House,"12305 Myterra Way, Herndon, VA 20171",4,3.0,3750,Herndon,VA,20171,38.9233,-77.3979
40,Townhouse,"2533 James Maury Dr, Herndon, VA 20171",3,4.0,2600,Herndon,VA,20171,38.9233,-77.3979
41,House,"13079 Greg Roy Ln, Herndon, VA 20171",4,4.5,3700,Herndon,VA,20171,38.9233,-77.3979
42,Townhouse,"13126 Plotner Farm Rd, Herndon, VA 20171",3,3.5,3000,Herndon,VA,20171,38.9233,-77.3979
43,Townhouse,"13588 Big Boulder Rd, Herndon, VA 20171",4,3.5,3200,Herndon,VA,20171,38.9233,-77.3979
44,Townhouse,"2646 Jetstream Rd, Oak Hill, VA 20171",4,4.0,3290,Oak Hill,VA,20171,38.9233,-77.3979
